date,book,reference
2016-07-24,Hebrews,11:5-6
2016-07-17,1 Corinthians,9:24-25
2016-07-10,1 Corinthians,4:1-2
2016-07-03,1 Corinthians,3:16-17
2016-06-19,1 Corinthians,2:9-10
2016-06-12,1 Corinthians,1:17-18
2016-06-05,Romans,14:11-12
2016-05-29,Romans,12:16-18
2016-05-22,Romans,12:9-10
2016-05-15,Romans,12:1-2
2016-05-08,Romans,10:9-10
2016-05-08,Romans,10:13
2016-05-01,Romans,8:1
2016-05-01,Romans,8:28
2016-04-24,Romans,5:12
2016-04-24,Romans,6:1-2
2016-04-17,Romans,5:6-8
2016-04-10,Romans,5:3-5
2016-04-03,Romans,5:1-2
2016-03-27,Romans,1:16-17
2016-03-20,Ephesians,6:16-17
2016-03-13,Ephesians,6:13-15
2016-03-06,Ephesians,6:10-12
2016-02-28,Ephesians,5:1-2
2016-02-21,Philippians,3:7-8
2016-02-14,Psalms,84:4-5
2016-02-14,Psalms,84:12
2016-01-31,Psalms,84:2
2016-01-31,Psalms,84:10
2016-01-24,1 Peter,2:1-3
2016-01-24,1 John,5:1-3
2016-01-17,Philippians,4:11
2016-01-17,1 Timothy,6:7-8
2016-01-10,Ephesians,5:17
2016-01-10,James,1:5-6
2016-01-03,John,3:30
2016-01-03,1 John,2:3-4
2015-12-27,Colossians,3:1-2
2015-12-20,Titus,2:11-13
2015-12-13,John,1:14
2015-12-13,John,14:1-2
2015-12-06,John,3:17
2015-12-06,2 Corinthians,8:9
2015-11-29,John,14:13-14
2015-11-29,James,1:5
2015-11-22,Mark,11:24
2015-11-22,1 John,5:14-15
2015-11-15,Romans,10:17
2015-11-15,Matthew,7:7-8
2015-11-08,Hebrews,11:1
2015-11-08,Hebrews,11:6
2015-11-01,Matthew,6:21
2015-11-01,Matthew,6:33-34
2015-10-25,John,3:18
2015-10-25,John,3:36
2015-10-18,Romans,10:13
2015-10-18,Romans,5:12
2015-10-18,Romans,3:23
2015-10-11,Romans,10:9
2015-10-11,Romans,5:8
2015-10-11,Romans,6:23
2015-10-04,Proverbs,11:30
2015-10-04,Psalms,126:5-6
2015-09-27,1 Corinthians,6:19-20
2015-09-20,Romans,6:12-13
2015-09-13,2 Corinthians,10:3-5
2015-09-06,Psalms,51:10-12
2015-09-06,1 Thessalonians,4:7
2015-08-30,Romans,12:1-2
2015-08-30,Mark,8:35
